Date,Open,High,Low,Close,Adj Close,Volume
9/16/2024,1.3136,1.3214,1.3136,1.3138,1.3138,-
9/13/2024,1.3133,1.3157,1.3116,1.3132,1.3132,-
9/12/2024,1.3039,1.3084,1.3033,1.304,1.304,-
9/11/2024,1.3082,1.3112,1.3003,1.308,1.308,-
9/10/2024,1.307,1.3108,1.305,1.3071,1.3071,-
9/9/2024,1.3132,1.3144,1.3072,1.3133,1.3133,-
9/6/2024,1.3177,1.3234,1.313,1.3177,1.3177,-
9/5/2024,1.3145,1.3188,1.3139,1.3145,1.3145,-
9/4/2024,1.3114,1.3175,1.3102,1.3114,1.3114,-
8/12/2024,1.275,1.2795,1.2749,1.275,1.275,
8/9/2024,1.2746,1.2774,1.2727,1.2747,1.2747,
8/8/2024,1.2685,1.2742,1.2666,1.268,1.268,
8/7/2024,1.2683,1.2736,1.2683,1.2685,1.2685,
8/6/2024,1.2788,1.2802,1.2673,1.2789,1.2789,
8/5/2024,1.2788,1.2816,1.2711,1.2788,1.2788,
8/2/2024,1.2728,1.284,1.2709,1.2729,1.2729,
8/1/2024,1.2853,1.2862,1.2756,1.2853,1.2853,
7/31/2024,1.2838,1.2854,1.2822,1.2837,1.2837,
7/30/2024,1.2858,1.2865,1.2821,1.286,1.286,
7/29/2024,1.2867,1.2888,1.2807,1.2868,1.2868,
7/26/2024,1.2856,1.2875,1.285,1.2857,1.2857,
7/25/2024,1.2898,1.2913,1.2863,1.29,1.29,
7/24/2024,1.2903,1.2938,1.2878,1.2902,1.2902,
7/23/2024,1.2933,1.2935,1.2889,1.2932,1.2932,
7/22/2024,1.2932,1.2941,1.2907,1.2933,1.2933,
7/19/2024,1.295,1.295,1.2902,1.2952,1.2952,
7/18/2024,1.3009,1.3013,1.297,1.3007,1.3007,
7/17/2024,1.2978,1.3045,1.2967,1.2978,1.2978,
7/16/2024,1.297,1.298,1.294,1.297,1.297,
7/15/2024,1.2968,1.2995,1.2963,1.2967,1.2967,
7/12/2024,1.2925,1.2992,1.2903,1.2924,1.2924,
7/11/2024,1.2854,1.2949,1.285,1.2853,1.2853,
7/10/2024,1.2789,1.2848,1.2785,1.2788,1.2788,
7/9/2024,1.2815,1.2825,1.2779,1.2816,1.2816,
7/8/2024,1.2807,1.2847,1.2802,1.2807,1.2807,
7/5/2024,1.2756,1.2814,1.2756,1.2756,1.2756,
7/4/2024,1.2748,1.2767,1.274,1.2748,1.2748,
7/3/2024,1.2688,1.2777,1.2679,1.269,1.269,
7/2/2024,1.2646,1.2685,1.2616,1.2646,1.2646,
7/1/2024,1.265,1.2695,1.2637,1.2649,1.2649,
6/28/2024,1.2644,1.2662,1.262,1.2646,1.2646,
6/27/2024,1.2621,1.2669,1.2614,1.2622,1.2622,
6/26/2024,1.2685,1.2692,1.2621,1.2684,1.2684,
6/25/2024,1.2683,1.2702,1.2672,1.2683,1.2683,
6/24/2024,1.264,1.2698,1.2634,1.2639,1.2639,
6/21/2024,1.266,1.267,1.2626,1.266,1.266,
6/20/2024,1.2721,1.2721,1.2667,1.2722,1.2722,
6/19/2024,1.2708,1.274,1.2702,1.2707,1.2707,
6/18/2024,1.2714,1.272,1.2669,1.2716,1.2716,
6/17/2024,1.2684,1.2691,1.266,1.2683,1.2683,
6/14/2024,1.2754,1.2765,1.2658,1.2755,1.2755,
6/13/2024,1.2797,1.2806,1.2753,1.2796,1.2796,
6/12/2024,1.2738,1.286,1.2734,1.274,1.274,
6/11/2024,1.2726,1.2749,1.2708,1.2726,1.2726,
6/10/2024,1.2729,1.2732,1.2689,1.2729,1.2729,
6/7/2024,1.2794,1.2811,1.2717,1.2793,1.2793,
6/6/2024,1.2794,1.2811,1.2766,1.2795,1.2795,
6/5/2024,1.2773,1.2795,1.2758,1.2773,1.2773,
6/4/2024,1.281,1.2817,1.2744,1.281,1.281,
6/3/2024,1.2744,1.2794,1.2696,1.2744,1.2744,
5/31/2024,1.273,1.2766,1.2702,1.273,1.273,
5/30/2024,1.2698,1.2748,1.2682,1.2698,1.2698,
5/29/2024,1.276,1.2772,1.2707,1.2758,1.2758,
